Format :             2																																																
Data set :           Main Set - As Loaded																																																
Original data file : C:\Users\sm3658\Desktop\test.txt										459.2565683
"Created on :         Wednesday, April 22, 2020"																																																

Time (*)             	FX Time (*)          	Channel              	Parametric 1         	Risetime             	Counts to Peak       	Counts               	Energy               	Duration             	Amplitude            	ASL                  	Threshold            	Average Frequency    	RMS(16)              	Reverberation Frequency 	Initiation Frequency 	Signal Strength      	Absolute Energy      	Partial Power 1      	Partial Power 2      	Partial Power 3      	Partial Power 4      	Frequency Centroid   	Peak Frequency       	Duration (FX)        	Amplitude (FX)       	Counts to Peak (FX)  	Counts (FX)          	Energy (FX)          	Absolute Energy (FX) 	Signal Strength (FX) 	Amplitude mV (FX)    	Risetime (FX)        	Rise Angle (FX)      	Decay Angle (FX)     	Average Frequency (FX) 	Reverberation Frequency (FX) 	Initiation Frequency (FX) 	Zero Crossings (FX)  	Zero Crossings Frequency (FX) 	Non Dimentional Amplitude (FX) 	FFT Amplitude (FX)   	FFT Peak Frequency (FX) 	FFT Width @10% (FX)  	FFT Width @30% (FX)  	FFT Crossings @30% (FX) 	Frequency Centroid (FX) 	Peak Frequency (FX)  	Peak Power (FX)     
56.168448	56.16832825	2	0.36591694	1699	49	65	56	1983	57	46	50	33	0.22583698	56	28	248934.91	4973.8848	66	16	18	0	305	156	788.59998	55.580589	8	15	1.4243945	1546.3994	88910.188	0.60121465	687.40002	0.041434936	0.27449879	19.021049	69.16996	11.638057	378	239.66522	5.3325486	14.761598	153.80859	412.59766	306.39648	8	345.59119	153.80859	49.197269
56.5356645	56.5356645	2	0.3683584	420	20	102	63	1998	58	46	50	51	0.22278512	51	47	282768.56	6417.1567	60	17	23	0	330	151	116	51.418465	2	2	0.22899283	251.74701	14293.649	0.37232581	86.400002	0.064837292	0.18729906	17.241379	0	23.148148	45	193.96552	3.0216074	13.741645	152.58789	456.54297	302.73438	2	338.75623	152.58789	48.575375
56.854245	56.8541075	2	0.37049469	1079	36	64	53	1940	57	46	50	33	0.22278512	32	33	238702.16	4852.186	53	17	29	0	310	151	772.59998	51.767342	12	12	1.2577395	1269.9692	78507.648	0.38758507	772.20001	0.009240517	1.514799	15.53197	0	15.540015	447	289.28293	3.8142557	12.722061	153.80859	439.45313	389.4043	14	340.11319	153.80859	47.90575
57.5327345	57.532587	2	0.37568286	1425	44	66	56	1942	57	46	50	34	0.22278512	42	30	249584.55	5157.3916	69	16	15	0	293	151	811.20001	55.536388	4	18	1.4384755	1598.4922	89789.117	0.59816277	71.800003	0.37416902	0.03811178	22.189348	18.934271	55.710308	385	237.30276	5.4041033	16.206415	152.58789	396.72852	104.98047	8	310.23453	152.58789	50.008339
57.64484125	57.644705	2	0.37568286	1073	70	119	69	1992	57	46	50	60	0.22278512	53	65	308931.44	7582.7075	78	9	12	0	284	156	804	57.29549	33	45	1.9746794	3084.5388	123258.77	0.73244423	550	0.075531751	0.16242126	55.97015	47.244095	60	355	220.77115	4.7776332	24.676926	153.80859	394.28711	120.84961	7	295.12537	153.80859	53.660423
58.4550245	58.45487625	2	0.38239694	249	15	96	64	1999	57	46	50	48	0.22583698	46	60	284067.84	6467.2637	77	15	8	0	287	156	815.40002	57.615253	20	52	2.1344991	3374.6191	133234.66	0.75991088	398.39999	0.11090924	0.10600003	63.772381	76.738609	50.200802	334	204.80745	4.6506767	35.323441	155.0293	386.96289	69.580078	3	293.48718	155.0293	56.77586
59.02200175	59.02185525	2	0.39155248	1407	48	75	58	1994	57	46	50	38	0.22583698	45	34	257548.09	5387.1284	74	11	15	0	291	156	789.59998	55.580589	8	26	1.6239247	1999.4844	101364.79	0.60121465	318.60001	0.089212306	0.06043309	32.928066	38.21656	25.109856	346	219.09828	4.6832738	22.059208	155.0293	421.14258	9.765625	2	305.2449	155.0293	52.686398
59.48686925	59.48672575	2	0.3912473	1658	62	90	63	1993	58	46	50	45	0.22278512	83	37	278834.06	6347.2837	67	20	14	0	296	156	775	53.935017	1	21	1.3808312	1559.2374	86190.984	0.49745169	144.2	0.12501995	0.028721323	27.096775	31.70577	6.9348125	408	263.2258	4.4729166	16.635675	153.80859	393.06641	368.65234	10	330.1077	153.80859	50.235409
60.543285	60.54317	2	0.39857173	241	16	71	58	1975	58	46	50	36	0.22583698	31	66	258704.05	5482.3447	72	9	19	0	298	156	758.40002	58.286312	19	44	1.8703526	2881.6208	116746.73	0.82094789	356.79999	0.14052507	0.12502185	58.016876	62.250996	53.251122	363	239.31963	5.3329706	24.719231	153.80859	393.06641	48.828125	4	331.55399	153.80859	53.675301
60.55229325	60.55214725	2	0.40070802	4	1	54	55	1995	57	46	50	27	0.22583698	26	250	244240.95	4905.7568	77	14	9	0	282	156	809.59998	57.474586	11	33	1.8659132	2670.7026	116469.62	0.74770349	150.2	0.27973503	0.065341443	40.760868	33.363663	73.235687	343	211.83301	5.1974134	23.594212	155.0293	388.18359	72.021484	5	318.52405	155.0293	53.27071
